"photoUploadID","companyID","projectID","projectSiteID","projectSiteTaskID","pictureType","dateTaken","latitude","longitude","accuracy","uri","companyStaffID","thumbFlag","dateUploaded"
351,24,11,43,NULL,1,"2014-10-29 23:06:37",-25.7605371,27.8526458,NULL,"monitor_images/company24/project11/projectsite43/f1414616795954.jpg",NULL,NULL,"2014-10-29 23:06:36"
370,24,NULL,NULL,NULL,4,"2014-11-15 11:20:40",-25.7605377,27.8525911,NULL,"monitor_images/company24/companyStaff/t63.jpg",63,1,"2014-11-15 11:20:41"
371,24,NULL,NULL,NULL,4,"2014-11-15 11:20:40",-25.7605377,27.8525911,NULL,"monitor_images/company24/companyStaff/f63.jpg",63,NULL,"2014-11-15 11:20:41"
372,24,NULL,NULL,NULL,4,"2014-11-15 11:21:40",-25.7605395,27.8525845,NULL,"monitor_images/company24/companyStaff/t63.jpg",63,1,"2014-11-15 11:21:40"
373,24,NULL,NULL,NULL,4,"2014-11-15 11:21:40",-25.7605395,27.8525845,NULL,"monitor_images/company24/companyStaff/f63.jpg",63,NULL,"2014-11-15 11:21:40"
378,24,NULL,NULL,NULL,4,"2014-11-25 14:29:19",-25.7605379,27.8526458,NULL,"monitor_images/company24/companyStaff/t64.jpg",64,1,"2014-11-25 14:29:21"
379,24,NULL,NULL,NULL,4,"2014-11-25 14:29:19",-25.7605379,27.8526458,NULL,"monitor_images/company24/companyStaff/f64.jpg",64,NULL,"2014-11-25 14:29:21"
380,24,46,1944,NULL,1,"2014-11-28 14:02:35",-25.7605382,27.8526455,NULL,"monitor_images/company24/project46/projectsite1944/t1417176156666.jpg",NULL,1,"2014-11-28 14:02:36"
381,24,46,1944,NULL,1,"2014-11-28 14:02:35",-25.7605382,27.8526455,NULL,"monitor_images/company24/project46/projectsite1944/f1417176157048.jpg",NULL,NULL,"2014-11-28 14:02:37"
382,24,46,1900,NULL,1,"2014-11-28 14:03:08",-25.7605382,27.8526455,NULL,"monitor_images/company24/project46/projectsite1900/t1417176189080.jpg",NULL,1,"2014-11-28 14:03:09"
383,24,46,1900,NULL,1,"2014-11-28 14:03:08",-25.7605382,27.8526455,NULL,"monitor_images/company24/project46/projectsite1900/f1417176189302.jpg",NULL,NULL,"2014-11-28 14:03:09"
384,24,46,1944,11525,2,"2014-11-28 15:20:50",-25.7605407,27.8526459,NULL,"monitor_images/company24/project46/projectsite1944/task11525/t1417180851801.jpg",NULL,1,"2014-11-28 15:20:51"
385,24,46,1944,11525,2,"2014-11-28 15:20:50",-25.7605407,27.8526459,NULL,"monitor_images/company24/project46/projectsite1944/task11525/f1417180852045.jpg",NULL,NULL,"2014-11-28 15:20:52"
